Paese,Regione/Stato,"Zip/Codice postale","# di oggetti (e superiore)","Prezzo spedizione"
*,*,*,1.0000,24.0000
ABW,*,*,1.0000,36.1800
AFG,*,*,1.0000,41.5800
AGO,*,*,1.0000,48.3900
AIA,*,*,1.0000,36.1800
ALB,*,*,1.0000,24.3500
ANT,*,*,1.0000,24.3500
ARE,*,*,1.0000,30.9500
ARG,*,*,1.0000,36.1800
ARM,*,*,1.0000,48.3900
ASM,*,*,1.0000,36.1800
ATG,*,*,1.0000,36.1800
AUS,*,*,1.0000,36.1800
AUT,*,*,1.0000,17.2500
AZE,*,*,1.0000,48.3900
BDI,*,*,1.0000,48.3900
BEL,*,*,1.0000,17.2500
BEN,*,*,1.0000,48.3900
BFA,*,*,1.0000,48.3900
BGD,*,*,1.0000,36.1800
BGR,*,*,1.0000,22.3200
BHR,*,*,1.0000,30.9500
BHS,*,*,1.0000,36.1800
BIH,*,*,1.0000,24.3500
BLM,*,*,1.0000,36.1800
BLR,*,*,1.0000,24.3500
BLZ,*,*,1.0000,36.1800
BMU,*,*,1.0000,36.1800
BOL,*,*,1.0000,36.1800
BRA,*,*,1.0000,36.1800
BRB,*,*,1.0000,36.1800
BRN,*,*,1.0000,30.9500
BTN,*,*,1.0000,41.5800
BWA,*,*,1.0000,48.3900
CAF,*,*,1.0000,48.3900
CAN,*,*,1.0000,24.8900
CHE,*,*,1.0000,24.3500
CHL,*,*,1.0000,36.1800
CHN,*,*,1.0000,30.9500
CIV,*,*,1.0000,48.3900
CMR,*,*,1.0000,48.3900
COD,*,*,1.0000,48.3900
COG,*,*,1.0000,48.3900
COK,*,*,1.0000,48.3900
COL,*,*,1.0000,36.1800
COM,*,*,1.0000,48.3900
CPV,*,*,1.0000,48.3900
CRI,*,*,1.0000,36.1800
CUB,*,*,1.0000,48.3900
CYM,*,*,1.0000,36.1800
CYP,*,*,1.0000,22.3200
CZE,*,*,1.0000,18.2700
DEU,*,*,1.0000,17.2500
DJI,*,*,1.0000,48.3900
DMA,*,*,1.0000,36.1800
DNK,*,*,1.0000,18.2700
DOM,*,*,1.0000,36.1800
DZA,*,*,1.0000,48.3900
ECU,*,*,1.0000,36.1800
EGY,*,*,1.0000,30.9500
ERI,*,*,1.0000,48.3900
ESP,*,*,1.0000,18.0600
EST,*,*,1.0000,22.3200
ETH,*,*,1.0000,48.3900
FIN,*,*,1.0000,18.2700
FJI,*,*,1.0000,36.1800
FLK,*,*,1.0000,48.3900
FRA,*,*,1.0000,17.2500
FRO,*,*,1.0000,24.3500
FSM,*,*,1.0000,36.1800
GAB,*,*,1.0000,48.3900
GBR,*,*,1.0000,18.0600
GEO,*,*,1.0000,48.3900
GGY,*,*,1.0000,24.3500
GHA,*,*,1.0000,48.3900
GIB,*,*,1.0000,24.3500
GIN,*,*,1.0000,48.3900
GLP,*,*,1.0000,36.1800
GMB,*,*,1.0000,48.3900
GNB,*,*,1.0000,48.3900
GNQ,*,*,1.0000,48.3900
GRC,*,*,1.0000,18.2700
GRD,*,*,1.0000,36.1800
GRL,*,*,1.0000,30.9500
GTM,*,*,1.0000,36.1800
GUM,*,*,1.0000,36.1800
GUY,*,*,1.0000,36.1800
HKG,*,*,1.0000,30.9500
